population,u_statistic,p_value,responder_median,non_responder_median,responder_mean,non_responder_mean,responder_n,non_responder_n,significant,p_value_adjusted,significant_fdr
cd4_t_cell,515277.5,0.013339773203683436,30.2206,29.6576,30.53780906344411,29.902260307692305,993,975,True,0.06669886601841718,False
b_cell,459968.0,0.05567186466219834,9.4323,9.7884,9.797553373615308,9.99631835897436,993,975,False,0.13917966165549583,False
nk_cell,464546.5,0.12106031279217618,14.5093,14.7991,14.840943605236655,15.073167487179486,993,975,False,0.20176718798696028,False
monocyte,466509.0,0.1631261907294168,19.6097,19.9423,19.94176455186304,20.08432779487179,993,975,False,0.203907738411771,False
cd8_t_cell,478175.5,0.6390575277665635,24.728,24.6031,24.881933635448135,24.943925743589745,993,975,False,0.6390575277665635,False
